,Comment,Label
0,здравствуйте ранее вы говорили что нынешние участники могут поехать в школу в следующем году без отбора скажите если сейчас принять участие в кэш это возможность теряется,neautral
1,аня конечно нет каждый кто получил приглашение на участие в сезоне сможет попасть в сезон вне конкурса,neautral
2,клш отлично,positive
3,клш а к резерву это не относится,negative
4,к резерву не относится поступать нужно будет на общих основаниях,neautral
5,спасибо,positive
6,большой лайк автору картинки,neautral
7,никита спасибо,positive
8,здравствуйте а тем кто только мечтал но не поступал в клш можно присоедениться в качестве слушателя онлайн формат располагает к такому широкому жесту,neautral
9,анна часть содержания совершенно точно будет доступна абсолютно всем мы расскажем об этом в следующем посте через несколько дней,negative
10,здравствуйтеподскажите пожалуйста сколько будет стоить летняя кэш,negative
11,участие в кэш полностью бесплатно,neautral
12,клш спасибо,positive
13,кажется здесь используется слишком расходный материал стоит задуматься об альтернативе,neautral
14,а что будет происходить не в онлайне кроме локальных встреч команд,neautral
15,пока можем только утверждать что точно не будет массовых сборов,neautral
16,наше кредо,neautral
17,это записывают на видео и выкладывают в сеть ролик становится вирусным дальше перед видео появляется реклама в этом случае скорее всего площадка для размещения видео находится вне юрисдикции российского авторского права законы там постарше но в целом автор также отстоит свои права,neautral
18,ну дело за малым — надо теперь сделать сам ролик,neautral
19,статья крутая спасибо вова,positive
20,молодец вова а что думаешь по поводу того что мы возьмём и придадим всем нашим песням статус каверов ведь все песни с юмором и особой авторской подачей текста и музыки а что мы знаем про каверы это новое произведение и ничьих согласий не нужно «создание произведения в жанре литературной музыкальной или иной пародии либо в жанре карикатуры на основе другого оригинального правомерно обнародованного произведения и использование этих пародий либо карикатуры допускаются без согласия автора или иного обладателя исключительного права на оригинальное произведение и без выплаты ему вознаграждения» п ст гк рф,negative
21,нина я лично под кавером понимаю не переделку песни а так называемую перепевку те текст и музыка остаются меняется только исполнение касательно пародий я частично согласен как по мне сама пародия предполагает комическое или сатирическое подражание которое есть далеко не во всех песнях для меня например бродит август по лету не пародия а обычная песня с иным смыслом да и просто использование мелодии и манеры пения используя другой текст я пародией не считаю безусловно есть песни которые направлены только на это и на них п ст гк рф распространится но это далеко не все,neautral
22,жуёт свой галстук маньякгрузин пока ламзит ламзин грядёт восстание машин нас всех спасёт ламзин надеюсь не только от восстания,neautral
23,что характерно эпизод жевания галстука совпал по датам с сезоном возможно дело действительно было в том что сергей сидел в информационно блокаде под атаманово и не видел бэтсигналов,neautral
24,клетки делятся так хотел ламзин,neautral
25,никита да ты не переживай в следующем сезоне он будет таскать парты а не вы,neautral
26,значит всётаки получилось у ламзина откосить от зондерства ловите в таком случае лучи поддержки ☀️,neautral
27,летняя оздоровительная кампания стартует июля а клш не будет,negative
28,думали клш не сдастся так быстро,neautral
29,а как насчёт лишенных удачи десятиклассников которые переходят в у нас остаются шансы на зондерство😶🙈,positive
30,кек,neautral
31,никита кек,neautral
32,аня кстати да,neautral
33,катя аня мы пока что не знаем ответа на этот вопрос но узнаем,negative
34,формально — действительно стартует но случится ли это на практике — сложно сказать список требований к лагерям очень серьёзный и с клш практически несовместимый кроме того проводить школу этим летом скорее всего просто небезопасно,neautral
35,мы не сдаёмся мы адаптируемся,negative
36,мы надеемся что он всё же согласится таскать парты по зуму,negative
37,будем ждать официального решения,neautral
38,как приятно было услышать голос ильи грузберга благодарю за запись как будто снова оказалась школьницей в своём первом сезоне года😊 народ держитесь успехов вам в адаптации в этом году с таким богатым наследием клш у вас всё получится🙌✨👍,neautral
39,беда бедой,neautral
40,расплакалась только прочитав бродит август по лету и мгновенно увидела перед глазами свои оба сезона очень надеюсь что школьникам го сезона всётаки удастся однажды попасть на их сезон❤️,neautral
41,здравствуйте а можно уточнить отчество некоторого тов сергея семенова и оно случаем не евгеньевич,neautral
42,сергей викторович,neautral
43,кстати сказать сергей викторович семёнов сейчас готовит рассказ про время своего директорства,neautral
44,никита кек вышел изпод контроля,neautral
45,уважаемый,neautral
46,да именно с этой новостью мы немного задержались,neautral
47,знаешь информационная повестка постоянно меняется,neautral
48,ничего не понял но очень интересно поздравляю от всего сердца,neautral
49,спасибо куб физических теорий увидел почти впервые никогда не думал что в целом возможна нерелятивистская но квантовая гравитация,neautral
50,возможнато возможна да увидеть никак нельзя — тебе даже между нейтральными атомами ван дер ваальс на малых масштабах не даст гравитацию измерить а уж тем более отклонения от ньютоновской разве что на ультрахолодных нейтронах пробовать но их еще поди получи а потом удержи или ченить такое,negative
51,байбурин и макартни в одной песне любимое произведение из летнешкольного репертуара,neautral
52,усы топ,positive
53,интересно есть ли тут связь с тем что произошло с усами м г,neautral
54,клш нет,neautral
55,❤❤❤,neautral
56,антон очень хорошие слова перед статьей бегу читать саму статью,positive
57,антон родные места — как хорошо спасибо за статью и да сосновый бор отличное направление,positive
58,кажется из всех смотрящих в будущее только михаил георгиевич чтото подозревал,neautral
59,даёшь летнюю школу в декабре,positive
60,клшживи,neautral
61,бродит вирус по лету ждём его чуть дыша чтоб назло всем запретам вновь попасть в клш,positive
62,но и при конце света не исчезнет не исчезнет клш,neautral
63,анастасия как всегда мудрая наталья григорьевна макуха находится в здесь и сейчас😉,neautral
64,алёна а что ты готова для этого сделать,neautral
65,в томто и пичалька что для германии,positive
66,возможно,neautral
67,класс а если никита думает что бы ему сыграть нуу чтонибудь лирическое ❤,positive
68,то чего так не хватало взаперти спасибо ещё б аудиоверсию чтоб сохранить в плейлист,neautral
69,спасибо за поддержание духа на карантинепойте ещё,positive
70,ваня ты прекрасно поёшь,positive
71,никите для начала надо прикупить гитару вопрос что бы сыграть пока не стоит,neautral
72,никита могу сыграть а ты спой,neautral
73,я купил гитару,neautral
74,никита тогда я жду ❤️,neautral
75,уж не хотите ли вы граждане сказать что все это ваше образование выродилось до картошки и нафиг больше никому не нужно осторожнее с мемами их можно очень поразному интерпретировать,negative
76,это чистая правда мне вот кажется что этот мем про то как тяжко в сложившейся ситуации справляться с технической стороной образования сама не всегда понимаю как не включить случайно маску картошки хотя я не преподаю а учусь,negative
77,я видимо из другого поколения и далеко не всегда мемы воспринимаю так как авторы их ожидало понимать данный мем с моей колокольни выглядит просто поидиотски и картошка к первым шагам в расширении круга аудитории образования не имеет никакого отношения,neautral
78,мне жаль я даже не подумала об этом но вижу как мем можно так понять вообще с мемами такая история что они часто выглядят поидиотски это же реально сводится к семиотике к тому кто из нас как этот язык символов интерпретирует есть много интересных социолингвистических работ на этот счёт кстати могу предложить другим участникам группы поразмышлять какие именно механизмы отвечают за столь различную интерпретацию одной и той же картинки,neautral
79,да пожалуйста размышлять всегда хорошо,positive
80,паша мы ценим образование и очевидно сами занимаемся им как в самой летней школе так и в этом паблике что можно заметить если например полистать выходящие здесь статьи современные технологии которые позволяют не прерывать образовательный процесс и в сегодняшних непростых условиях мы разумеется тоже ценим при этом нам не кажется что ирония на тему специфических особенностей дистанционного формата обучения не является уместной конечно про многие вещи сегодня совершенно точно не следует шутить но маски в зуме как нам кажется к таким не относятся всётаки юмор — это то чего многим из нас сейчас особенно не хватает даже если это и не кажется очевидным,negative
81,клш из моего комментария должно быть очевидно что я качество этой конкретной шутки ставлю под сомнение вне зависимости от того что и как мне будут говорить о том что ваше мнение очень важно для нас и мы профессиональные профессионалы потому что делаем свою работу профессионально,neautral
82,очень жизненный мем посмеялся в голос,neautral
83,это мы поняли,neautral
84,я бы вообще не распознал картошку или здесь как обычно ссылка на нечто в широких кругах общеизвестное,negative
85,финал разумеется грандиозный,neautral
86,да что толку до него толком все равно никто не дочитывает,neautral
87,привет антон как твои дела,neautral
88,антон стабильно читаю до конца с задержкой во времени и стабильно восторгаюсь мастерству автора,neautral
89,провести бы трансляцию с песнями🤔 вроде такое где то видел значит можно,neautral
90,очень душевно😊,neautral
91,🤗,neautral
92,😍😍😍,neautral
93,как свежий ветер спасибо алёна,positive
94,какая же это отдушина особенно в такое тревожное время спасибо большое алёна за ту самую трепетную атмосферу кусочек уютной клш по ту сторону экрана,neautral
95,спасибо за кусочек лета и теплую атмосферупойте ещё,positive
96,женя 💛,neautral
97,🦆,neautral
98,❤❤❤,neautral
99,ну ты даёшь смоляр советовать школьнику читать обзорные статьи в – это сильно 😒,neautral
100,лучший,positive
101,охота пуще неволи,neautral
102,я обычно интервью не смотрю но подробностями про сигму вынудили надеюсь не кликбейт,neautral
103,где про сигму,neautral
104,никита и все таки это был кликбейт,neautral
105,товарищ монтажер а можно пожалуйста в следующий раз мишу погромче а музыку потише ❤,positive
106,никита,neautral
107,уступаем лучшую букву греческого алфавита в юбилейном сезоне,neautral
108,лиса любого алфавита,neautral
109,научный статус психоанализа,neautral
110,я послушал первые минут этой лекции пример с таблицей менделеева — это как раз примерно то почему был придуман критерий поппера странно его не упоминать и говорить что вот мол как же так смотрите какие у химии большие проблемы если о ней судить с некоторых позиций раннего позитивизма позиции эти кстати не лишены смысла разумеется отвергать их полностью не следует как не следует и ими ограничиваться сравнение с математикой за первые минут нахожу откровенно неуместным математика оперирует с очень чётко определёнными объектами и не претендует на то что «существование математической функции может быть доказано при помощи эксперимента» или что «линейное уравнение действительно существует» эта наука устроена иначе,neautral
111,я желаю утверждать что у этого текста грандиозный финал,neautral
112,ничего не знаю иногда каак залипну на неё минут на главное чтобы эо и радиусы были,neautral
113,кстати с химией в домашних условиях тоже лучше не впадать в крайности,neautral
114,да а то насмотришься на таблицу менделеева потом глаза болят руки трясутся и бессонница,neautral
115,китайская таблица менделеева топ русская тоже ничего,negative
116,бог биохима,neautral
117,😍😍😍,neautral
118,отвал бошки,neautral
119,скажите пожалуйста а какого числа придёт сообщение,neautral
120,во второй половине марта вполне возможно что уже на следующей неделе,neautral
121,а я могу сейчас подтвердить а если случатся неожиданные обстоятельства не поехать,negative
122,денис можешь но лучше чтобы все возможные обстоятельства были исключены,neautral
123,да но если обстоятельства случатся — сразу нам сообщи,neautral
124,денис тебе все можно тебя везде ждут,neautral
125,статья великолепная спасибо большое всем кто к ней причастен,positive
126,очень круто,positive
127,ого очень важная публикация спасибо большое,positive
128,благодарю за статью💖🙏 приятно вспомнить свой первый сезон в клш 👍👍👍 я была в группе биофизиков под чутким руководством анатолия дементьева мы разработали совершенно крутую концепцию о клеткелидере только насколько я помню мы себя да и нас в школе называли как то более академически департаментом🤗 но это мое восприятие как школьницы только что закончившей класс было очень круто впрочем как все последующие года что я ездила в клш в самых разных ролях 👍👍👍,positive
129,с бельчонком по информатике совпадает с,neautral
130,по биологии тоже,neautral
131,и по обществознанию,neautral
132,к сожалению совсем избежать пересечений оказалось невозможно хорошие новости заключаются в том что мы дождёмся участников олимпиады по обществознанию и быстро отсобеседуем тех кто идёт на олимпиады по биологии и информатике,neautral
133,катя смотри ответ лизе,negative
134,вера и вы тоже смотрите ответ лизе,negative
135,🙂,neautral
136,о знакомые лица,neautral
137,а подскажите пожалуйста те кто не писал никаких специальных контрольных или тестов может учавствовать,neautral
138,да,neautral
